"id","name","color","party","wpca:d1","wpca:d2","r","result","opacity"
4,"Benda, Marek (ODS)","blue","ODS",26.0305331457533,0.691225297977283,"0.05",1,0.7
68,"KluËka, V·clav (»SSD)","orange","»SSD",-19.9220964524817,-6.7265592400115,"0.05",1,0.7
111,"NeËas, Petr (ODS)","blue","ODS",19.2104388175998,0.849182820575859,"0.05",1,0.7
122,"OrgonÌkov·, Hana (»SSD)","orange","»SSD",-32.4865501990347,-10.8900827510513,"0.05",1,0.7
211,"Emmerov·, Milada (»SSD)","orange","»SSD",-28.1621297702853,-7.73188658030237,"0.05",1,0.7
216,"Hulinsk˝, Petr (»SSD)","orange","»SSD",-32.3994062565922,-8.00992111996426,"0.05",1,0.7
235,"Skopal, Ladislav (»SSD)","orange","»SSD",-27.8647858501279,-8.4300660915893,"0.05",1,0.7
237,"Sobotka, Bohuslav (»SSD)","orange","»SSD",-29.9908120682944,-10.3476360159882,"0.05",1,0.7
239,"äkromach, ZdenÏk (»SSD)","orange","»SSD",-0.776104346558553,0.0778262516297277,"0.05",1,0.7
252,"Zaor·lek, LubomÌr (»SSD)","orange","»SSD",-25.2882425806635,-6.17407860205939,"0.05",1,0.7
261,"HornÌkov·, ZdeÚka (ODS)","blue","ODS",21.6733891410449,1.02320259049515,"0.05",1,0.7
269,"Papeû, Ji¯Ì (ODS)","blue","ODS",22.3629851495589,0.784758802405583,"0.05",1,0.7
273,"Plach˝, Jaroslav (ODS)","blue","ODS",28.0767520286746,1.15810583839583,"0.05",1,0.7
280,"VidÌm, Jan (ODS)","blue","ODS",28.654809403707,0.602162242953005,"0.05",1,0.7
303,"Filip, VojtÏch (KS»M)","red","KS»M",-34.0676984545892,16.8711390859962,"0.05",1,0.7
305,"GrebenÌËek, Miroslav (KS»M)","red","KS»M",-35.1773317645107,17.3468731255058,"0.05",1,0.7
309,"Kov·Ëik, Pavel (KS»M)","red","KS»M",-32.3492180742667,16.4078839832672,"0.05",1,0.7
312,"Bebarov· Rujbrov·, Zuzka (KS»M)","red","KS»M",-38.2125448614818,17.9887788751654,"0.05",1,0.7
340,"Parkanov·, Vlasta (TOP 09)","darkviolet","TOP 09",20.0299381131271,-0.585732766234713,"0.05",1,0.7
345,"Bartoö, Walter (ODS)","blue","ODS",23.8271784835565,-0.216817923394608,"0.05",1,0.7
346,"Bendl, Petr (ODS)","blue","ODS",19.912803573597,-0.00885817315351007,"0.05",1,0.7
354,"»ern˝, Karel (»SSD)","orange","»SSD",-33.6266530891006,-11.1739076982451,"0.05",1,0.7
356,"Doktor, Michal (ODS)","blue","ODS",12.1587715390997,-0.930846725038657,"0.05",1,0.7
366,"Hojda, Pavel (KS»M)","red","KS»M",-37.2068345857391,18.1870221210282,"0.05",1,0.7
377,"Kalousek, Miroslav (TOP 09)","darkviolet","TOP 09",18.9396926787248,1.1185768863388,"0.05",1,0.7
386,"K¯eËek, Stanislav (»SSD)","orange","»SSD",-30.077290943696,-9.43376451271066,"0.05",1,0.7
392,"Lobkowicz, Jaroslav (TOP 09)","darkviolet","TOP 09",28.3969941267069,0.594110281697532,"0.05",1,0.7
401,"NÏmcov·, Miroslava (ODS)","blue","ODS",28.3478209522404,-0.66674497414912,"0.05",1,0.7
410,"Petr, B¯etislav (»SSD)","orange","»SSD",-10.55998010639,-1.58337710970401,"0.05",1,0.7
415,"Such·nek, Pavel (ODS)","blue","ODS",25.8031618368223,0.240520396732297,"0.05",1,0.7
422,"Urban, Milan (»SSD)","orange","»SSD",-29.7678767491628,-10.9285599926818,"0.05",1,0.7
1296,"GandaloviË, Petr (ODS)","blue","ODS",2.52468481027468,-0.174149020429547,"0.05",1,0.7
4778,"GrospiË, Stanislav (KS»M)","red","KS»M",-37.762223785211,18.0415542239195,"0.05",1,0.7
5255,"Svoboda, Miroslav (»SSD)","orange","»SSD",-23.9169766621925,-8.29305383462154,"0.05",1,0.7
